id,titulo,autor,tematica,idioma,num_palabras,fuente,recolector,hash_texto,texto
ernesto_guevara_0001,El leon y el raton,Esopo,naturaleza_y_bosques,es,129,Project Gutenberg,ernesto_guevara,5bc1749ad26c644445dcb6ae1e9343b65fc81c7c,"El león y el ratón
Un león fue despertado de su sueño por un ratón que le corría por la cara. Levantándose enfadado, lo atrapó y estaba a punto de matarlo, cuando el ratón le suplicó con lamento, diciendo: «Si me perdonas la vida, te recompensaré por tu bondad». El león se rió y lo dejó marchar. Poco después de esto, el león fue capturado por unos cazadores, que lo ataron al suelo con cuerdas resistentes. El ratón, al reconocer su rugido, se acercó y royó la cuerda con los dientes, liberándolo y exclamando:

«Te burlaste de la idea de que yo pudiera ayudarte alguna vez, sin esperar recibir de mí ninguna recompensa por tu favor; ahora sabes que incluso un ratón puede hacer un favor a un león»."
ernesto_guevara_0002,El lobo y el cordero,Esopo,naturaleza_y_bosques,es,153,Project Gutenberg,ernesto_guevara,ce9c090a589d1bf97a8d6fb3b9cbbffb0a4923a4,"El lobo y el cordero
El LOBO, al encontrarse con un cordero que se había alejado del redil, decidió no atacarlo con violencia, sino buscar algún pretexto para justificar ante el cordero su derecho a devorarlo. Así se dirigió a él: «Oye, el año pasado me insultaste gravemente». «Es verdad —baló el cordero con tono lastimero—, pero entonces yo aún no había nacido». Entonces dijo el lobo: «Te alimentas en mi pastizal». «No, buen señor», respondió el cordero, «aún no he probado la hierba». De nuevo dijo el lobo: «Bebes de mi pozo». «No», exclamó el Cordero, «todavía no he bebido agua, pues hasta ahora la leche de mi madre es tanto mi alimento como mi bebida». Ante lo cual el Lobo lo agarró y se lo comió, diciendo: «¡Bueno! No me quedaré sin cenar, aunque refutes todas y cada una de mis acusaciones». El tirano siempre encontrará un pretexto para su tiranía."
ernesto_guevara_0003,El reino del leon,Esopo,naturaleza_y_bosques,es,129,Project Gutenberg,ernesto_guevara,f2bcc32c602c971112fb51280a8a17d76c2528fa,"El reino del león
Las bestias del campo y del bosque tenían por rey a un león. No era ni iracundo, ni cruel, ni tiránico, sino tan justo y bondadoso como un rey puede serlo. Durante su reinado, hizo un edicto real para convocar una asamblea general de todas las aves y bestias, y redactó las condiciones para una liga universal, en la que el lobo y el cordero, la pantera y el cabrito, el tigre y el ciervo, el perro y la liebre, vivieran juntos en perfecta paz y armonía. La liebre dijo: «Oh, cuánto he anhelado ver este día, en el que los débiles ocuparán su lugar sin temor junto a los fuertes». Y después de decir esto, la liebre echó a correr para salvar la vida."
ernesto_guevara_0004,La liebre y la tortuga,Esopo,naturaleza_y_bosques,es,135,Project Gutenberg,ernesto_guevara,d866b1a4e3ef16234c10c1f94f02b3a4fda3c39f,"La liebre y la tortuga
Un día, una liebre se burló de las patas cortas y el paso lento de la tortuga, quien respondió riendo: «Aunque seas veloz como el viento, te ganaré en una carrera». La liebre, convencida de que tal afirmación era sencillamente imposible, aceptó la propuesta; y acordaron que el zorro eligiera el recorrido y fijara la meta. El día señalado para la carrera, las dos partieron juntas. La tortuga no se detuvo ni un solo instante, sino que siguió con paso lento pero firme hasta el final del recorrido. La liebre, tumbada al borde del camino, se quedó profundamente dormida. Al despertar por fin y correr tan rápido como pudo, vio que la tortuga había llegado a la meta y dormitaba plácidamente tras el esfuerzo.

Lento pero constante gana la carrera."
ernesto_guevara_0005,El pescador que tocaba la flauta,Esopo,naturaleza_y_bosques,es,118,Project Gutenberg,ernesto_guevara,8104bee2f88981e2a06dc62c19e2e5c49f134cf2,"El pescador que tocaba la flauta
Un pescador experto en música se llevó su flauta y sus redes a la orilla del mar. De pie sobre una roca saliente, tocó varias melodías con la esperanza de que los peces, atraídos por su música, bailaran por su propia voluntad hasta caer en la red que había colocado debajo. Al fin, tras haber esperado en vano durante mucho tiempo, dejó a un lado su flauta y, al lanzar la red al mar, hizo una excelente captura de peces. Cuando los vio saltando en la red sobre la roca, dijo: «Oh, criaturas perversas, cuando tocaba la flauta no queríais bailar, pero ahora que he dejado de hacerlo, lo hacéis con alegría»."
ernesto_guevara_0006,El perro y la sombra,Esopo,naturaleza_y_bosques,es,118,Project Gutenberg,ernesto_guevara,efdf4e71cf81a4e3e61524bc7437e0bee94e14b1,"El perro y la sombra
Un perro, al cruzar un puente sobre un arroyo con un trozo de carne en la boca, vio su propia sombra en el agua y la confundió con la de otro perro, que llevaba un trozo de carne el doble de grande que el suyo. Inmediatamente soltó el suyo y atacó ferozmente al otro perro para arrebatarle el trozo más grande. Así perdió ambas: la que había intentado atrapar en el agua, porque era una sombra; y la suya, porque el arroyo se la llevó. Quien se deja llevar por la codicia puede terminar perdiendo incluso aquello que ya posee. Es mejor valorar lo que se tiene que arriesgarlo todo por una ilusión."
ernesto_guevara_0007,La tortuga y el aguila,Esopo,naturaleza_y_bosques,es,146,Project Gutenberg,ernesto_guevara,17eccc9afdda84c6ea251ba02b6e1112322ea0aa,"La tortuga y el águila
Una tortuga, que tomaba el sol perezosamente, se quejaba ante las aves marinas de su duro destino, ya que nadie quería enseñarle a volar. Un águila, que revoloteaba cerca, oyó su lamento y le preguntó qué recompensa le daría si la llevaba en alto y la hacía flotar en el aire. «Te daré», dijo ella, «todas las riquezas del Mar Rojo». «Entonces te enseñaré a volar», dijo el águila; y, tomándola en sus garras, la llevó casi hasta las nubes; de repente la soltó, y ella cayó sobre una montaña elevada, haciendo añicos su caparazón. La tortuga exclamó en el momento de la muerte: «Me he merecido mi actual destino; pues ¿qué tenía yo que ver con alas y nubes, yo que con dificultad me muevo por la tierra?».

Si los hombres tuvieran todo lo que desean, a menudo se arruinarían."
ernesto_guevara_0008,El zorro y la cabra,Esopo,naturaleza_y_bosques,es,227,Project Gutenberg,ernesto_guevara,8e4ffeced09fd01bdf762cf052650f7903dc1506,"El zorro y la cabra
Un día, un zorro cayó en un pozo profundo y no encontraba forma de escapar. Una cabra, presa de la sed, se acercó al mismo pozo y, al ver al zorro, le preguntó si el agua estaba buena. Ocultando su triste situación bajo una apariencia alegre, el zorro elogió profusamente el agua, diciendo que era excelente sin medida, y animándola a bajar. La cabra, preocupada únicamente por su sed, saltó sin pensarlo dos veces, pero justo cuando estaba bebiendo, el zorro le informó de la dificultad en la que ambos se encontraban y le sugirió un plan para escapar juntos. «Si», le dijo, «pones tus patas delanteras en la pared e inclinas la cabeza, yo treparé por tu lomo y escaparé, y luego te ayudaré a salir». La cabra accedió de buen grado y el zorro saltó sobre su lomo. Sujetándose con los cuernos de la cabra, llegó sano y salvo a la boca del pozo y se largó tan rápido como pudo. Cuando la cabra le reprochó que hubiera incumplido su promesa, él se dio la vuelta y gritó: «¡Viejo tonto! Si tuvieras tanto cerebro en la cabeza como pelos en la barba, nunca habrías bajado sin antes inspeccionar el camino de subida, ni te habrías expuesto a peligros de los que no tenías forma de escapar».

Mira antes de saltar."
ernesto_guevara_0009,El leon enfermo,Esopo,naturaleza_y_bosques,es,152,Project Gutenberg,ernesto_guevara,3b302e5525ecce8863bc4d2946a8a5fd8845ab85,"El león enfermo
Un león, incapaz de procurarse alimento por la fuerza debido a su vejez y sus dolencias, decidió hacerlo mediante el engaño. Regresó a su guarida y, tumbándose allí, fingió estar enfermo, procurando que su enfermedad se hiciera pública. Las bestias le expresaron su pesar y acudieron una a una a su guarida, donde el león se las devoró. Después de que muchas de las bestias hubieran desaparecido de este modo, el zorro descubrió el engaño y, presentándose ante el león, se quedó fuera de la cueva, a una distancia respetuosa, y le preguntó cómo se encontraba. «Estoy más o menos», respondió el León, «pero ¿por qué te quedas ahí fuera? Por favor, entra para hablar conmigo». «No, gracias», dijo el Zorro. «Veo que hay muchas huellas de patas que entran en tu cueva, pero no veo rastro alguno de que salgan».

Es sabio quien aprende de las desgracias ajenas."
ernesto_guevara_0010,El oso y los dos viajeros,Esopo,naturaleza_y_bosques,es,151,Project Gutenberg,ernesto_guevara,4a54b869cabd537758208ef64635255660119a0f,"El oso y los dos viajeros
Dos hombres viajaban juntos cuando, de repente, se encontraron con un oso en su camino. Uno de ellos se subió rápidamente a un árbol y se escondió entre las ramas. El otro, al ver que iba a ser atacado, se tiró de bruces al suelo, y cuando el oso se acercó, lo palpó con el hocico y lo olisqueó por todas partes, contuvo la respiración y fingió estar muerto lo mejor que pudo. El oso pronto lo dejó, pues se dice que no toca un cadáver. Cuando se hubo alejado por completo, el otro viajero bajó del árbol y le preguntó en tono jocoso a su amigo qué le había susurrado el oso al oído. «Me dio este consejo», respondió su compañero. «Nunca viajes con un amigo que te abandona ante la llegada del peligro».

La desgracia pone a prueba la sinceridad de los amigos."
