id,titulo,autor,tematica,idioma,num_palabras,fuente,recolector,hash_texto,texto
ingrid_salceda_0001,Night_Surf_(1974),Anonimo,fantasmas_y_misterio,es,2155,American Supernatural Tales (Penguin Horror),ingrid_salceda,4123ac65a7902f60fba7a6e9284047d66e003ca6,"Los fantasmas del Museo del Prado

EVOCACIONES
HAY en Madrid un lugar de reposo, a donde van los niños y los viejos paseantes en busca de sol y de paz. Antiguamente, cuando la villa coronada era más pequeña, en ese mismo lugar se concentraba la vida elegante, y bajaban al Prado las carrozas de los nobles señores, los apuestos jinetes, las damas de la Real Casa. Hoy el tumulto de la vida se ha desviado hacia otras partes de la ciudad. Pero el sitio ha ganado en poesía, tanto como ha perdido en mundanidad y ajetreo. Bajo los viejos y mal cuidados árboles se respira un aura de soledad y de calma, y las personas que se asustan del lujo y el ruido vienen a pasearse al abrigo de su benéfica sombra. Los carreteros que bajan hacia los barrios populares se ponen a cantar perezosamente, mientras las muías cabizbajas campanillean. El sol tibio y sereno del cielo castellano pone su adorno de luz áurea y neta en los árboles, en las paredes, en las afiladas agujas de las torres. Y así, adornado por el sol, supremo artífice de Madrid, el Paseo del Prado aparece lleno de melancólicas nostalgias. Es un rincón romántico, con el romanticismo de las cosas desvaídas, viejas y nobles. En el fondo de este paseo, un poco hundido en el hueco de unos desmontes, se levanta un edificio grande, rosa y gris. Atrevámonos a decir que acaso resida en ese edificio la mayor potencia gloriosa y jerárquica que posee actualmente España. Una vez que los triunfos guerreros se acabaron, España vive hoy en la conciencia de los pueblos civilizados merced a su historia y a su Museo del Prado. La historia de España pesa como un bloque abrumadorsob re la memoria del mundo; pero la historia es cosa muerta. Si nada más que historia poseyese España, las gentes no se acordarían de ella mucho más que de Persia o del país de los etruscos. Tiene España su Museo y gracias a él se mantiene viva en la conciencia del mundo. Y un incendio repentino y enorme, al abrasar todos los lienzos del Museo, sumiría a España en la mayor indigencia. Desaparecidos los tesoros de Velázquez, del Greco, de Murillo, de Ribera y de Goya, España no podría presentar al mundo sino pavesas, cenizas de gloria, sombras de genialidad. Las cosas definitivas, eternas y universales que ha dejado España al mundo, son El Quijote, América y un centenar de lienzos geniales. Se entra en el edificio por una doble escalinata, que termina en un vestíbulo acristalado. Cuando un hombre sensible y culto llega a este vestíbulo, irremediablemente percibe una mayor celeridad en el pulso; es esa grave e inefable sensación a la que llamamos religiosidad. Efectivamente, en el interior del edificio están congregadas las obras culminantes de los genios, y cada obra mantiene dentro de sí como un trozo del alma del pasado. Si los muertos nos sugieren ideas religiosas, las obras geniales nos producen una idéntica sensación, pero más intensa todavía, porque percibimos en torno de ellas el halo del espíritu creador. El genio que las produjo murió, la tierra lo ha disuelto en tierra; pero las obras están vivas, y a través de las obras creemos atisbar la figura depurada del creador, que viene a saludarnos como un fantasma propicio. Al pasar el vestíbulo, el aura religiosa nos posee. Sentimos un involuntario deseo de descubrirnos, como en un templo, y nuestros pasos apenas quieren rozar el pavimento, por temor de turbar el reposo sereno de los fantasmas. La pintura, por lo mismo que es un arte concreto, causa al espíritu emociones más directas. La música nos produce emociones nihilistas, incoherentes e indeterminadas; la literatura se apodera tanto de la mente, que la absorbe y la conduce por caminos puramente intelectuales: ambas emociones son egoístas y conducen a la absorción y a la soledad. Pero la pintura habla al mismo tiempo a la mente, a la imaginación, a los sentidos materiales. Se traba una comunicación ideal entre las figuras del cuadro y el espectador, y surge el efecto dramático. La pintura es un arte dramático y por eso nos produce tan viva emoción. Las figuras del cuadro nos miran e interrogan; nosotros, por nuestra parte, vemos positivamente el desarrollo del drama. Creemos asistir al acto, y somos espectadores a la vez que cómplices del drama. Pero si un solo cuadro nos sugiere esas dramáticas emociones, ¿qué clase de abundantes, intensas emociones nos sugerirá un Museo en donde están colgados cientos de cuadros geniales de diferentes autores, climas y edades? Entonces el alma del hombre culto y sensible se figura asistir a un congreso de fantasmas pretéritos; la atmósfera tiene para él no se sabe qué ocultos pliegues, que extrañas y acumuladas interpretaciones; las personas, las leyendas, los Reyes, héroes y mendigos de varias centurias, las batallas y las apoteosis, los gestos beatos y los trágicos ademanes, todo esto se arremolina ante los ojos del espectador. Llega un momento en que el espectador se olvida del día actual, piensa que él, únicamente él es un fantasma inactual, y que los personajes de los lienzos son los que tienen verdadera y real existencia... Pasado el vestíbulo, se abre una rotonda que ofrece al visitante varias puertas. Por la mano izquierda está la entrada a la sala de la escuela italiana; por la derecha mano solicitan al visitante la sala de los retratos y la de los pintores primitivos; enfrente, una amplia puerta da acceso a la sala principal del Museo. Se entra en ella, y uno se siente encogido, abrumado. De repente, sin una preparación gradual, el espectador se encuentra dentro de una sala en cuyos muros están colgados los lienzos de los pintores españoles más fuertes y representativos. El espectador queda abrumado bajo aquella pesadumbre genial. Salen a su paso el Greco, Velázquez, Zurbarán, Goya. Toda la España artística está allí. Todo el espíritu realista, y a la vez macerado, de la España vieja, se congrega en aquellas paredes. Los príncipes de Velázquez, los monjes ascéticos de Zurbarán, las apoteosis místicas del Greco, las sangrientas y pavorosas figuras de Goya, viven allí una vida anacrónica, pero tan humana y real, que a pesar del tiempo que los separa, parecen todos contemporáneos, hijos de la misma mente y del mismo instante. Sin duda está allí España, toda la España vehemente, violenta, altiva y caballeresca. Y el espectador siente que viene a besarle un viento trágico: el viento de España, la nación de la tragedia. ¿Existe una melancolía más profunda que la del noble arruinado, condenado a guardar los restos gloriosos de sus antecesores? Vedle en la estancia de su palacio secular. De las paredes cuelgan viejos retratos de capitanes, obispos y comendadores; en las panoplias se reúnen las espadas que brillaron al sol de la victoria; en los rincones duermen las arcas que en un tiempo guardaron el oro de pasmosas riquezas. El noble personaje mira estas preseas antiguas y su alma se llena de dolor, porque ya no le quedan criados ni feudos, ni riquezas, ni apenas un pedazo de pan, y cuando su necesidad le grita, al levantar los ojos tropieza con los nobles vestigios que hacen todavía más penosa su indigencia. Así le ocurre a España con su Museo. Están allí reunidas las preseas artísticas de varios siglos. En aquella época de poderío, de fuerza, cada pintor pagaba su contribución a la gloria hispánica. Los Reyes llamaban a los más célebres artistas y les mandaban grabar en lienzos la apoteosis de la dinastía triunfante. El insuperable Tiziano retrataba a Carlos V en actitud magnífica, a caballo sobre un victorioso bruto, armado de lanza y casco. Desde Flandes e Italia acudían los pintores a ofrecer la ofrenda de su genio. El mismo Greco, abandonando su patria natal, se establecía en Toledo, y allí se identificaba con el espíritu castellano. Pantoja de la Cruz pinta a Felipe II en aquel talante noble, severo y espectral que se ha hecho famoso; Velázquez se encarga de sublimar la figura de Felipe IV y de los Príncipes, poniéndoles sobre grandes corceles, con los ricos mantos tendidos ante un paisaje solemne y teatral. Y para colmar la medida de la apología hispánica, pinta su célebre cuadro de «Las Lanzas», en donde los soldados flamencos rinden sus espadas a las históricas picas castellanas. Acude también Rubens, y añade su arte aparatoso a la apoteosis española. Todo son grandezas, victorias, batallas campales, reyes y capitanes triunfadores. Las paredes del Museo del Prado parecen temblar bajo la pesadumbre de tanta grandeza. La historia española de dos siglos, de los dos siglos culminantes, vive en estas paredes, pero agrandada fastuosamente por la fuerza enfática de la pintura. Entretanto, el espectador se detiene entristecido y medita sobre el contraste que ofrecen esas glorias pretéritas en un país indigente de ilusiones. La historia que se lee en los libros es incompleta, porque le falta el concurso de la emoción viva, dramática, visual; mientras que los cuadros, con su palpitación veraz y su fuerza expositiva, llegan adentro de nuestra alma, hasta el albergue íntimo. Sabemos, porque lo leímos, que España tuvo famosos príncipes, invencibles soldados, altos caballeros; pero ante la demostración tangible de los lienzos, nuestros propios ojos comprueban las acciones. Después de ver y palpar esa realidad antigua, el espectador se palpa y examina a sí mismo, y siente entonces la enorme distancia que le separa de la gloria pretérita. ¡Raza de soberbias y renunciaciones! Los principales componentes del carácter español están expresados en la sala central del Museo del Prado. La psicología ibérica la han grabado ahí los pintores, sin recatarse y tal vez sin proponérselo! Un fraile de Zurbarán, tendido en el suelo de piedra, apoyada la cabeza en una teja, mirando con los ojos errátiles la claridad mística que llega del cielo, nos manifiesta la voluntad fatal que el alma española ha sentido siempre por la renunciación. Los dislocados gestos que pinta Greco, las caras maceradas y los ojos de alucinado, nos muestran el impulso ciego con que el español se lanzó siempre hacia el fanatismo. La nobleza de las figuras de Velázquez nos representa vivamente el atormentado prurito de grandeza que socavó el alma española. A la entrada de la sala central, Goya tiene acaparado aquel rincón medio en sombra. Goya es como el punto final de una narración épica. En la penumbra de aquel rincón, el alma rota y violenta de Goya traza sus escenas antitéticas. Aquí tiene colgado un Cristo, y cerca del Cristo ha puesto la insuperable maja desnuda. Frente a un cuadro popular en que bullen las carrozas, las majas y los chisperos, aparece el cuadro brutal donde «Malasaña», lanzándose a la grupa de un ginete francés le mete un puñal por los riñones, mientras que con su boca quisiera aún morder y despedazar al moribundo. Pero el punto final de la epopeya española está en ese alucinante, ese macabro, ese feroz cuadro que se titula «El fusilamiento de la Moncloa». Yo recuerdo que en la escuela donde aprendí a leer había, junto con otros cuadros de historia religiosa y profana, colgada una copia del cuadro de Goya. Mi imaginación de niño consideraba aquel cuadro con horror, y el pasado de España se me representaba con un fondo triste en que palpitaba el heroísmo desgreñado y la muerte sin apelación. Ahora mismo, cuando ha transcurrido tanto tiempo, no puedo mirar este cuadro sin que tiemble algo dentro de mí. Es la muerte sin apelación, en efecto, el heroísmo final y sin fruto. Sangre, vencimiento, decadencia, mezclado todo con hiel y con rabia. Los aparatosos príncipes velazqueños están un poco más arriba; pero aquéllos terminaron su carrera. Estos Príncipes de la casa de Austria, decayendo, descendiendo, avillanándose, acaban en estos feroces hombres, rotos y descamisados, a quienes los soldados invasores de Francia van a fusilar. Los soldados forman en fila. Sus cuerpos simétricos avanzan en actitud de apuntar. Están apuntando a unos hombres pequeños, hirsutos, feos, pobrísimos. Unos han muerto ya; otros se preparan a morir. Alguno tiembla a la hora capital. Alguno esconde el rostro, por no ver la boca de los fusiles. Pero uno de los hombres, el más feo, achaparrado y roto de todos, se yergue delante de los fusiles, abre la boca para maldecir a los verdugos, descubre el pecho para que las balas penetren con facilidad, y tiende los brazos abiertos, en cruz, ofreciéndose en holocausto a la patria. En ese hombre macabro, que abre los brazos, los ojos y la boca desmesuradamente, con un supremo gesto de desafío y maldición, en ese hombre feo y monstruoso, locamente heroico, parece que la España conquistadora pone su último rasgo. Es un movimiento galvánico. La nación venía muriendo durante dos siglos; al latigazo del invasor, la raza hace un esfuerzo de heroísmo. Aquel hombre de Goya, achaparrado, desgreñado, aquel supremo héroe, parece el último héroe de una raza que amó tanto la gloria."
ingrid_salceda_0002,Introduction_Keith_Alan_Deutsch,Anonimo,fantasmas_y_misterio,es,1349,The Black Lizard Big Book of Black Mask Stories,ingrid_salceda,dddf721491ae632d6016f184e129b103d45949ad,"Relato de fantasmas de Thomas Hardy: La historia de un hombre supersticioso

—Hubo algo muy extraño acerca de la muerte de William, ¡muy extraño de veras! —suspiró con melancolía un hombre en la parte de atrás del vagón. Era el padre del granjero, quien hasta ahora había guardado silencio. —¿Y qué pudo haber sido? —preguntó el señor Lackland. —William, como muchos saben, era curioso, un hombre callado; se podía sentir cuando estaba cerca; y si estaba en la casa o en cualquier otro lugar, cerca de uno, había algo húmedo en el aire, como si la puerta del sótano se hubiera abierto al lado de uno. Bien, fue un domingo, una vez que William estaba en aparente buen estado de salud, la campana llamaba a la gente a la iglesia de buenas a primeras; el sacristán dijo que no había sentido la campana tan pesada en su mano por años, era un día domingo, como dije. Durante la semana anterior, ocurrió que la señora de William había estado hasta tarde una noche para terminar de planchar; ella lavaba para el señor y la señora Hardcome. Su marido había terminado la cena, y como era usual se había marchado a la cama hacía ya una o dos horas. Mientras ella estaba planchando, lo escuchó bajando las escaleras; se detuvo para ponerse las botas, que estaban al pie de la escalera, donde siempre las dejaba, y luego pasó por la sala de estar donde ella seguía planchando, pasando a través del mismo hacia la puerta. Esta era la única manera de ir desde la escalera hacia el exterior de la casa. Ninguno de los dos dijo palabra alguna, William no era un hombre de mucho hablar, en tanto su esposa se hallaba ocupada en sus labores. El hombre salió y cerró la puerta tras de sí. Ella no prestó mayor atención, pensando que su marido habría salido para fumar su pipa o caminar un rato por la noche, y siguió planchando. Al rato terminó con su labor y, dado que su marido no había vuelto aún, le esperó un rato, mientras guardaba la plancha y demás cosas, y dejaba lista la mesa para el desayuno matinal. Su marido seguía sin volver, pero suponiendo que lo haría pronto, ella decidió irse a la cama porque estaba cansada. Dejó la puerta sin llave y subió las escaleras luego de escribir con tiza en la puerta: Recuerda cerrar la puerta (porque él era olvidadizo). Para su gran sorpresa, y digamos alarma, al llegar al pie de la escalera se dio cuenta de que las botas de su marido seguían ahí, donde las había dejado cuando subió para descansar. Habiendo subido y llegado al dormitorio lo encontró en cama, durmiendo como una roca. Cómo pudo haber vuelto sin que ella lo viera ni escuchara, eso estaba más allá de su comprensión. Habrá sido únicamente pasando en silencio detrás de ella, mientras estaba guardando la plancha, que pudo conseguirlo. Pero esto no la dejó satisfecha: era imposible en extremo que no lo hubiera notado entrar en una sala tan pequeña. No pudo desentrañar el misterio, y se sintió muy rara e incómoda. Sin embargo, decidió no molestar a su marido para preguntarle, y se acostó de una vez. Él se levantó y salió para su trabajo muy temprano a la mañana siguiente, mucho antes de que ella se levantara, así que la mujer aguardó el regreso del marido para el almuerzo con gran ansiedad para oír la explicación, ya que habiendo pensado el asunto durante el día solo la había dejado más sobresaltada. Cuando llegó a comer, dijo, antes de que ella pudiera preguntar cualquier cosa:

—¿Cuál es el significado de esas palabras escritas con tiza en la puerta? Ella le contó todo y le preguntó acerca de la noche anterior. William declaró que jamás había salido de su cama luego de acostarse, habiéndose de hecho desvestido, acostado y dormido casi instantáneamente, no levantándose hasta que el reloj dio las cinco. Luego partió para su trabajo. Betty Privett estaba tan segura de que él había salido como de su propia existencia. Y sólo estaba un poco menos segura de que él no había regresado. Estaba demasiado perturbada como para discutir con él, así que dejó el asunto como si ella hubiera estado equivocada. Cuando más tarde se fue caminando por la calle Longpuddle, se encontró con la hija de Jim Weedle, Nancy, y le dijo:

—Bueno, Nancy, hoy tienes cara de sueño. —Sí, señora Privett —dijo Nancy—. No se lo vaya a contar a nadie, pero no me molesta contarle el motivo. Anoche, como era la Víspera del Verano, algunos de nosotros fuimos al pórtico de la Iglesia y no regresamos a casa hasta cerca de la una. —¿Cómo? —dijo la señora Privett—. ¿Que fue ayer? Dios, no recordaba que lo fuera; tuve mucho trabajo. No puedo recordar cuándo es la Víspera del Verano o la Fiesta de San Miguel. Siempre tengo mucho que hacer. —Sí, y nos asustamos bastante con lo que vimos. —¿Qué visteis? (Usted quizás no lo recordará, señor, habiéndose marchado a otros lugares tan joven, pero por aquí se cree que en la Víspera del Verano las formas pálidas de todas las personas de la parroquia que están cerca de la muerte dentro del plazo de un año pueden ser vistas entrando a la iglesia. Aquellos que logran vencer su enfermedad o dolencia salen luego de un rato; aquellos que están condenados a morir no vuelven a salir.)

—¿Qué visteis? —volvió a preguntar la esposa de William. —Bueno —dijo Nancy— no necesitamos decir qué vimos o a quién vimos. —Viste a mi marido —dijo Betty Privett en tono sereno. —Bueno, ya que usted lo dice —dijo Nancy lentamente—, creímos verlo. Pero estaba muy oscuro y estábamos asustados, y por supuesto pudo no haber sido él. —Nancy, no te preocupe continuar, sé que te callas por bondad. Necesitas continuar. Él nunca salió de la iglesia: lo sé tan bien como tú. Nancy no respondió sí ni no a aquella aseveración, y nada más fue dicho. Pero tres días después, William Privett estaba segando con John Chiles en el prado del señor Hardcome, y en el calor del día se sentaron a comer algo bajo un árbol, y se vaciaron un frasco de vino. Luego se quedaron dormidos sentados. John Chiles fue el primero en despertar, y, cuando miró a su compañero de trabajo, vio una de esas grandes y blancas ánimas que nosotros llamamos —por así decirlo— polillas del molino, que salió de la boca abierta de William mientras dormía y se alejaba volando. John pensó que era bastante extraño, ya que William había estado trabajando en un molino durante varios años. Luego miró hacia el cielo, y se dio cuenta, por el paso del sol, de que habían estado dormidos por un largo rato. Como William no despertaba, John lo llamó y le dijo que ya era hora de volver al trabajo. Su amigo seguía inmóvil, y cuando John lo movió se dio cuenta de que estaba muerto. Ahora bien, ese mismo día el viejo Philip Hookhorn bajó al Longpuddle para buscar un cántaro de agua. Cuando regresó, ¿a qué persona dijo haber visto bajando al arroyo por la otra orilla sino a William, muy pálido y envejecido? Esto sorprendió mucho a Philip Hookhorn, ya que hacía varios años el pequeño hijo de William —su único hijo— se había ahogado mientras jugaba en ese mismo lugar, y esto había atacado el buen juicio de William, ya que nunca más lo vieron cerca del Longpuddle después de este hecho. Se ha sabido que tomaba un camino media milla más largo para evitar ese lugar. Más tarde se dijo que William no pudo haber estado en el arroyo, ya que estaba en ese mismo momento a dos millas de distancia; esto sin contar el hecho de que falleció en el mismo momento en que fue visto.”

—Una historia melancólica —comentó el emigrante tras un minuto de silencio. —Sí, sí. Bueno, la vida tiene momentos buenos y malos —dijo el padre del granjero. Thomas Hardy"
