id,titulo,autor,tematica,idioma,num_palabras,fuente,recolector,hash_texto,texto
cuento_001,El Albertadromeus y el Aviso del Desprendimiento,Anonimo,dinosaurios_y_prehistoria,español,161,Cuentos para dormir,Colab AI,ae391d2c5e9811a664a31263525ff334,"Alan era un tierno albertadromeus, un veloz y pequeño dinosaurio corredor que habitaba las llanuras con garras mansas. Mientras exploraba las laderas más altas del gran cañón, Alan notó que una enorme acumulación de rocas y arcilla blanda comenzaba a agrietarse debido a una filtración de agua subterránea, amenazando con caer directamente sobre un grupo de tejedores de la edad de piedra que trabajaban abajo con lianas elásticas. Con gran agilidad, Alan corrió ladera abajo esquivando los helechos gigantes a toda velocidad. Al llegar junto a los humanos, comenzó a dar pequeños saltos y a señalar hacia la cumbre con su hocico. Los tejedores entendieron la señal de alerta y se retiraron a una cueva misteriosa cercana justo a tiempo, un instante antes de que el desprendimiento cubriera el lugar donde estaban. A salvo de la avalancha, el grupo entero entonó un tierno silbido de agradecimiento, y el ágil corredor dio un giro elegante respondiendo con un tierno y rugido amigable."
cuento_002,El Albertadromeus y el Fruto Caído,Anonimo,dinosaurios_y_prehistoria,español,158,Cuentos para dormir,Colab AI,f6ac6e8be58a47218ff9a6b542dd023b,"Amadeo era un tierno albertadromeus, un dinosaurio pequeñito y sumamente veloz que recorría las llanuras con garras mansas. Una tarde, una recolectora de la edad de piedra recolectaba frutos dulces en la base del gran cañón. Al intentar jalar una rama alta con una red de lianas elásticas, el último canasto lleno de provisiones resbaló por una pendiente de arcilla blanda, quedando atrapado entre unos troncos petrificados a punto de caer al vacío. La mujer no podía bajar por lo resbaladizo del terreno. Amadeo, que asomaba la cabeza con curiosidad entre los helechos gigantes de la ladera, comprendió la situación. Bajó con zancadas rápidas y ligeras, tomó con su hocico la cuerda de la red justo a tiempo y subió la cuesta a toda velocidad para dejar el canasto a salvo. La recolectora, feliz de recuperar el alimento, sonrió emitiendo un tierno silbido, y el pequeño corredor dio un saltito alegre respondiendo con un tierno y rugido amigable."
cuento_003,El Albertadromeus y el Juguete Perdido,Anonimo,dinosaurios_y_prehistoria,español,153,Cuentos para dormir,Colab AI,aa538b4cf096c0514f5722b6b2d00ee6,"Alfie era un tierno albertadromeus, un dinosaurio pequeñito y de agilidad asombrosa que corría por las colinas con garras mansas. Un mediodía, un niño de la edad de piedra jugaba cerca del gran cañón con una pequeña figura tallada, sujeta a su muñeca por lianas elásticas. Mientras corría, tropezó con unos troncos petrificados y el juguete salió volando, cayendo en una grieta profunda llena de arcilla blanda. El niño lloraba porque no alcanzaba su tesoro. Alfie, que observaba con curiosidad desde un denso matorral de helechos gigantes, se acercó de inmediato. Con pasos rápidos y precisos, descendió por la ladera resbaladiza, tomó el juguete con su pequeño hocico antes de que se hundiera en el barro y subió la cuesta a toda velocidad. El niño, feliz de recuperar su juguete, abrazó al pequeño corredor emitiendo un tierno silbido, y Alfie dio una pirueta en su sitio respondiendo con un tierno y rugido amigable."
cuento_004,El Albertadromeus y el Recado del Cazador,Anonimo,dinosaurios_y_prehistoria,español,168,Cuentos para dormir,Colab AI,465687661592aed4014ae8cb6e669f2b,"Alonso era un tierno albertadromeus, un dinosaurio pequeñito y sumamente veloz que recorría las llanuras con garras mansas. Un mediodía, un grupo de exploradores de la edad de piedra quedó atrapado al fondo del gran cañón tras un derrumbe que bloqueó la salida principal con toneladas de arcilla blanda y troncos petrificados. El líder del grupo necesitaba enviar una señal urgente a la aldea para pedir herramientas, pero las lianas elásticas que tenían eran muy cortas para escalar el muro de roca. Alonso, que asomaba la cabeza con curiosidad entre los helechos gigantes de la cornisa, comprendió la situación. Bajó por un sendero estrecho y empinado inaccesible para los humanos, tomó con su hocico un amuleto de piedra que los exploradores usaban como señal y corrió a toda velocidad hacia el campamento. En pocos minutos, la ayuda estaba en camino. Al ser rescatados, los exploradores rodearon al pequeño corredor emitiendo un tierno silbido de gratitud, y Alonso dio un brinco ágil respondiendo con un tierno y rugido amigable."
cuento_005,El Albertadromeus y la Antorcha del Vigía,Anonimo,dinosaurios_y_prehistoria,español,164,Cuentos para dormir,Colab AI,5422f488ce18fa7441e98d7129bb74c6,"Amadeo era un tierno albertadromeus, un dinosaurio diminuto y de asombrosa agilidad que corría por el bosque mostrando sus garras mansas. Al caer la noche, un vigía de la edad de piedra subía a una torre de observación cerca de la cueva misteriosa llevando una antorcha encendida. Para ascender, utilizaba una escala hecha de lianas elásticas atadas a unos troncos petrificados, pero un desprendimiento de arcilla blanda golpeó la base de la estructura, desestabilizándola y haciendo que el vigía soltara su bolso de herramientas. Amadeo, que saltaba alegremente entre los helechos gigantes del suelo, vio las herramientas caer hacia el lodo. Con una velocidad increíble, esquivó los fragmentos de piedra, atrapó el bolso por sus lianas elásticas antes de que se hundiera en la arcilla blanda y lo llevó de vuelta hasta los pies del sorprendido vigía. El hombre, agradecido por recuperar sus pertenencias intactas, emitió un tierno silbido, y el pequeño corredor dio una veloz vuelta respondiendo con un tierno y rugido amigable."
cuento_006,El Albertadromeus y la Bolsa de Semillas,Anonimo,dinosaurios_y_prehistoria,español,172,Cuentos para dormir,Colab AI,2fa7db74792a54e746a2eb6b3cedda7e,"Abel era un tierno albertadromeus, un pequeño y veloz dinosaurio de patas esbeltas que corría por las colinas con garras mansas. Un amanecer, una recolectora de la edad de piedra guardaba valiosas semillas de flores silvestres cerca del gran volcán para plantarlas en su aldea. Sin darse cuenta, la bolsa de lianas elásticas donde las almacenaba resbaló por una pendiente empinada y cayó en una hondonada profunda llena de arcilla blanda. Intentar bajar era muy peligroso para ella debido a lo resbaladizo del terreno. Abel, que observaba con curiosidad desde un espeso matorral de helechos gigantes, se acercó con agilidad. Bajó por la ladera con pasos rápidos y ligeros, tomó la trenza de la bolsa firmemente con su hocico antes de que se hundiera entre los troncos petrificados del fondo y subió la cuesta en un par de zancadas perfectas. La mujer, asombrada por la velocidad del pequeño animal, recibió sus semillas emitiendo un tierno silbido, y Abel dio un pequeño giro en su sitio respondiendo con un tierno y rugido amigable."
cuento_007,El Albertadromeus y la Búsqueda de Medicinas,Anonimo,dinosaurios_y_prehistoria,español,164,Cuentos para dormir,Colab AI,8712439f4a5f5210cef5397b804d6a6b,"Arturo era un tierno albertadromeus, un dinosaurio sumamente veloz y pequeño que recorría los valles con garras mansas. Una tarde, el curandero de una tribu asentada cerca del gran volcán necesitaba con urgencia unas raíces medicinales que solo crecían al otro lado de una llanura inundada de arcilla blanda. El cielo amenazaba tormenta y el curandero, de avanzada edad, no podía cruzar a tiempo. Arturo, que asomaba la cabeza entre los helechos gigantes, comprendió la urgencia al ver las lianas elásticas que el hombre llevaba para amarrar los brotes. El pequeño corredor se acercó y permitió que el curandero atara un pequeño cesto a su lomo. En un abrir y cerrar de ojos, Arturo cruzó la llanura a toda velocidad, recolectó las plantas correctas con su hocico y regresó antes de las primeras gotas. El curandero, conmovido por su velocidad y nobleza, alzó las manos emitiendo un tierno silbido, y el ágil corredor dio un salto ligero respondiendo con un tierno y rugido amigable."
cuento_008,El Albertadromeus y la Cesta de Resina,Anonimo,dinosaurios_y_prehistoria,español,160,Cuentos para dormir,Colab AI,09aede7a2775c3ea9fb3476f805f339e,"Abel era un tierno albertadromeus, un pequeño y veloz dinosaurio de patas esbeltas que corría por las colinas con garras mansas. Una tarde, una recolectora de la edad de piedra extraía resina pegajosa de los troncos petrificados cerca del gran volcán para usarla como pegamento en sus herramientas. Sin darse cuenta, dejó caer su cesta principal en una hondonada profunda llena de arcilla blanda. Intentar bajar era muy peligroso, ya que las lianas elásticas que llevaba no alcanzaban para descender con seguridad. Abel, que observaba con curiosidad desde un espeso matorral de helechos gigantes, se acercó con agilidad. Bajó por la pendiente resbaladiza con pasos rápidos y ligeros, tomó la trenza de la cesta firmemente con su hocico y subió la cuesta en un par de zancadas perfectas. La mujer, asombrada por la velocidad del pequeño animal, recibió su cesta emitiendo un tierno silbido, y Abel dio un pequeño giro en su sitio respondiendo con un tierno y rugido amigable."
cuento_009,El Albertadromeus y la Flauta de Caña,Anonimo,dinosaurios_y_prehistoria,español,155,Cuentos para dormir,Colab AI,dcded6b76d7aa1f7d0df35b45b6046e0,"Abel era un tierno albertadromeus, un dinosaurio pequeñito y de agilidad asombrosa que corría por las colinas con garras mansas. Una tarde, una niña de la edad de piedra tocaba una pequeña flauta tallada cerca del gran cañón, sujeta a su cuello por lianas elásticas. Mientras corría tras una mariposa, tropezó con unos troncos petrificados y el instrumento salió volando, cayendo en una grieta profunda llena de arcilla blanda. La niña lloraba porque no alcanzaba su tesoro. Abel, que observaba con curiosidad desde un denso matorral de helechos gigantes, se acercó de inmediato. Con pasos rápidos y precisos, descendió por la ladera resbaladiza, tomó la flauta con su pequeño hocico antes de que se hundiera en el barro y subió la cuesta a toda velocidad. La niña, feliz de recuperar su música, abrazó al pequeño corredor emitiendo un tierno silbido, y Abel dio una pirueta en su sitio respondiendo con un tierno y rugido amigable."
cuento_010,El Albertadromeus y la Ofrenda de Bayas,Anonimo,dinosaurios_y_prehistoria,español,159,Cuentos para dormir,Colab AI,46b622fe029dd269b51af25fb38c5ccb,"Arturo era un tierno albertadromeus, un dinosaurio pequeñito y de agilidad asombrosa que corría por las colinas con garras mansas. Un amanecer, una joven recolectora de la edad de piedra regresaba del gran cañón portando una pequeña canasta de lianas elásticas repleta de bayas silvestres para los ancianos de su aldea. Al cruzar un sendero empinado, resbaló en una veta de arcilla blanda y la canasta rodó hasta quedar atrapada entre unos troncos petrificados en el fondo de una grieta. Arturo, que observaba con curiosidad desde un denso matorral de helechos gigantes, se acercó de inmediato. Con pasos rápidos y precisos, descendió por la pendiente, tomó la canasta por el asa con su hocico antes de que el barro la cubriera y subió la cuesta a toda velocidad. La joven, sorprendida por la destreza del pequeño corredor, recibió su alimento emitiendo un tierno silbido, y Arturo dio una pirueta en su sitio respondiendo con un tierno y rugido amigable."
