id,archivo,tematica,estilo,ancho,alto,descripcion,fuente,recolector,hash_imagen
Valeria14022001_img_0001,img_0001.png,heroes_y_aventuras,ilustracion_plana_color,400,400,armadura con espada,rawpixel,Valeria14022001,2645fdd6c9cf50455fa617ae3273f789360de6b2
Valeria14022001_img_0002,img_0002.png,heroes_y_aventuras,ilustracion_plana_color,800,1200,astronauta amistoso sena paz,rawpixel,Valeria14022001,321a7085a577b4e3c3e0424015fe0de2ea3bd7d5
Valeria14022001_img_0003,img_0003.png,heroes_y_aventuras,ilustracion_plana_color,800,800,astronauta con arma,rawpixel,Valeria14022001,4342ac6adb2c6d79f207763a9df083804a1b5412
Valeria14022001_img_0004,img_0004.png,heroes_y_aventuras,ilustracion_plana_color,400,400,astronauta de pie,rawpixel,Valeria14022001,e69e6d6cd709b8855110057d58f69dd8c0a97658
Valeria14022001_img_0005,img_0005.png,heroes_y_aventuras,ilustracion_plana_color,800,800,astronauta de pie sena paz,rawpixel,Valeria14022001,27be32b7c08ca673455b2d61fbd8a35333c5a5b9
Valeria14022001_img_0006,img_0006.png,heroes_y_aventuras,ilustracion_plana_color,400,400,astronauta flotando,rawpixel,Valeria14022001,ccbf3a09be24df7d799209aea88d0f2aeb42aa96
Valeria14022001_img_0007,img_0007.png,heroes_y_aventuras,ilustracion_plana_color,800,800,astronauta flotando sena paz,rawpixel,Valeria14022001,d25811ab3012e75898cc9f4e9aabf95da73f281a
Valeria14022001_img_0008,img_0008.png,heroes_y_aventuras,ilustracion_plana_color,800,800,bombera casco rojo extinguidor,rawpixel,Valeria14022001,1ffc2e738db9c8a8f5dd398410cfd62655ea690d
Valeria14022001_img_0009,img_0009.png,heroes_y_aventuras,ilustracion_plana_color,800,800,bombera casco rojo manguera azul,rawpixel,Valeria14022001,9e15c426b3681c037109d5f554547034359065cb
Valeria14022001_img_0010,img_0010.png,heroes_y_aventuras,ilustracion_plana_color,800,800,bombera manta mangera,rawpixel,Valeria14022001,6ccfd186d248bed58d6af2f1d881a5afc02ed4f5
Valeria14022001_img_0011,img_0011.png,heroes_y_aventuras,ilustracion_plana_color,800,800,bombera naranja casco,rawpixel,Valeria14022001,e0e4369425ae009a004639f4c66fd427d91deacc
