id,archivo,tematica,estilo,ancho,alto,descripcion,fuente,recolector,hash_imagen
axel_mendoza_img_0001,img_001.png,robots_y_tecnologia,ilustracion_plana_color,64,64,ilustración de robot neón,Wikimedia Commons,axel_mendoza,e0774cad4d3703ffb9d48564e938f642cd7118f5
axel_mendoza_img_0002,img_002.png,robots_y_tecnologia,ilustracion_plana_color,64,64,clipart con mecha futurista de frente,Wikimedia Commons,axel_mendoza,eba7e4e10456c126cbb5441f94c773d83f98787a
axel_mendoza_img_0003,img_003.png,robots_y_tecnologia,ilustracion_plana_color,64,64,gráfico de robot volando,Wikimedia Commons,axel_mendoza,ec03d7aed198c35c8b2d4ce402f1423ebb510212
axel_mendoza_img_0004,img_004.png,robots_y_tecnologia,ilustracion_plana_color,64,64,imagen con máquina autónoma minimalista con circuitos,Wikimedia Commons,axel_mendoza,0c204856bdb9bd14acdbc4c74eca67ad1837be6a
axel_mendoza_img_0005,img_005.png,robots_y_tecnologia,ilustracion_plana_color,64,64,viñeta con robot de juguete caricaturesco caminando,Wikimedia Commons,axel_mendoza,f9cfc9246500d5198e6823f9300dfd2b2e2ae036
axel_mendoza_img_0006,img_006.png,robots_y_tecnologia,ilustracion_plana_color,64,64,gráfico de robot de servicio caricaturesco,Wikimedia Commons,axel_mendoza,3e9b91f18eb4f2fcfbadc481b485e5f579775fc6
axel_mendoza_img_0007,img_007.png,robots_y_tecnologia,ilustracion_plana_color,64,64,figura de androide de cuerpo entero,Wikimedia Commons,axel_mendoza,75fefb229a614feb2846395a607bb9cef4e9ba89
axel_mendoza_img_0008,img_008.png,robots_y_tecnologia,ilustracion_plana_color,64,64,figura de robot de juguete pequeño con engranajes,Wikimedia Commons,axel_mendoza,151bb94a89218e3a4a56774784d2e438cda230f5
axel_mendoza_img_0009,img_009.png,robots_y_tecnologia,ilustracion_plana_color,64,64,ilustración de robot guerrero en el espacio,Wikimedia Commons,axel_mendoza,84300e788ccd27f1322e9816ad3488152bab6d90
axel_mendoza_img_0010,img_010.png,robots_y_tecnologia,ilustracion_plana_color,64,64,figura de robot de juguete mediano,Wikimedia Commons,axel_mendoza,a858fa4f4c181bbd7abd06531775fc709b8f08bb
axel_mendoza_img_0011,img_011.png,robots_y_tecnologia,ilustracion_plana_color,64,64,icono de robot explorador caricaturesco,Wikimedia Commons,axel_mendoza,7d6f1686590312e03ccef381c061265d1f58fb9a
axel_mendoza_img_0012,img_012.png,robots_y_tecnologia,ilustracion_plana_color,64,64,ilustración de robot guerrero icono pequeño,Wikimedia Commons,axel_mendoza,1064ce151ca2122e874e5511c78c70dd07f5aae6
axel_mendoza_img_0013,img_013.png,robots_y_tecnologia,ilustracion_plana_color,64,64,figura de robot de servicio minimalista de frente,Wikimedia Commons,axel_mendoza,8a3fa9c3f882a4f4e708b8d883862944fcb6aa0b
axel_mendoza_img_0014,img_014.png,robots_y_tecnologia,ilustracion_plana_color,64,64,clipart con máquina autónoma caminando,Wikimedia Commons,axel_mendoza,463937f9b7fab28aa958c532db341181fe8fcbab
axel_mendoza_img_0015,img_015.png,robots_y_tecnologia,ilustracion_plana_color,64,64,gráfico de robot espacial geométrico figura grande,Wikimedia Commons,axel_mendoza,fca7e27e0c9a847228f52afeb4a05bb027657cb3
axel_mendoza_img_0016,img_016.png,robots_y_tecnologia,ilustracion_plana_color,64,64,figura de robot explorador metálico,Wikimedia Commons,axel_mendoza,9b6ae6a4057bc830ff62b831720c6230b8bf8f74
axel_mendoza_img_0017,img_017.png,robots_y_tecnologia,ilustracion_plana_color,64,64,imagen con robot explorador de cuerpo entero,Wikimedia Commons,axel_mendoza,418637992293280e3332df3329ab27dbf62541a4
