id,archivo,tematica,estilo,ancho,alto,descripcion,fuente,recolector,hash_imagen
ernesto_guevara_img_0001,img_0001.jpg,naturaleza_y_bosques,ilustracion_plana_color,247,204,arroyo con puente bosque,Wikimedia Commons,ernesto_guevara,bc1187a96a4a11cddf5685a47721d8fcaf8ec4f5
ernesto_guevara_img_0002,img_0002.jpg,naturaleza_y_bosques,ilustracion_plana_color,300,168,pradera con colinas lejanas,Wikimedia Commons,ernesto_guevara,3a1a52959ed4d1ddda9e124beb811b5e0bfbc73a
ernesto_guevara_img_0003,img_0003.jpg,naturaleza_y_bosques,ilustracion_plana_color,315,160,bosque colorido con flores,Wikimedia Commons,ernesto_guevara,9f9963982e06cc63d2ed8f3f49e644e36f5f63c9
ernesto_guevara_img_0004,img_0004.jpg,naturaleza_y_bosques,ilustracion_plana_color,318,159,sendero entre arboles altos,Wikimedia Commons,ernesto_guevara,9ce99e6d0ed83e614014b2b67733c6c2e41e5f87
ernesto_guevara_img_0005,img_0005.jpg,naturaleza_y_bosques,ilustracion_plana_color,297,170,bosque verde iluminado,Wikimedia Commons,ernesto_guevara,49a79fa3b8a1cb1a90bd057f63f0de6b7efadfec
ernesto_guevara_img_0006,img_0006.jpg,naturaleza_y_bosques,ilustracion_plana_color,529,350,bosque con niebla azul,Wikimedia Commons,ernesto_guevara,a47acc365f9239bc2d45fea8b8ec7216ac7590e5
ernesto_guevara_img_0007,img_0007.jpg,naturaleza_y_bosques,ilustracion_plana_color,300,168,arboles frondosos en bosque,Wikimedia Commons,ernesto_guevara,896229556a4e82a640e5e2dcf5f6fea66293d4e6
ernesto_guevara_img_0008,img_0008.jpg,naturaleza_y_bosques,ilustracion_plana_color,246,205,sendero curvo entre arboles,Wikimedia Commons,ernesto_guevara,1d15d311b88cb66dbc94a78e6966c2c7ed88af93
ernesto_guevara_img_0009,img_0009.jpg,naturaleza_y_bosques,ilustracion_plana_color,266,189,bosque soleado con flores,Wikimedia Commons,ernesto_guevara,13f7e48e0bc0b0866a5b9dd6b1152af8c6437c94
ernesto_guevara_img_0010,img_0010.jpg,naturaleza_y_bosques,ilustracion_plana_color,278,181,vista al mar entre arboles,Wikimedia Commons,ernesto_guevara,a0c7150f8ca137f6b20bec41aeef7adc1c525e94
ernesto_guevara_img_0011,img_0011.png,naturaleza_y_bosques,ilustracion_plana_color,245,203,arroyo con puente bosque,Wikimedia Commons,ernesto_guevara,9c0d97c025056d3a8269b27a67df51d33ced198d
ernesto_guevara_img_0012,img_0012.jpg,naturaleza_y_bosques,ilustracion_plana_color,300,168,colinas verdes bajo nubes,Wikimedia Commons,ernesto_guevara,82c2e1890660dff3511a2fd9eb1f8886bd1ed496
ernesto_guevara_img_0013,img_0013.jpg,naturaleza_y_bosques,ilustracion_plana_color,300,168,pradera con pinos dispersos,Wikimedia Commons,ernesto_guevara,1930fdc8094ce3443b0104d02dc5782b547d7648
ernesto_guevara_img_0014,img_0014.png,naturaleza_y_bosques,ilustracion_plana_color,297,165,pradera con pinos dispersos,Wikimedia Commons,ernesto_guevara,71ee804742e547ee3026df98160e616c475731a6
