id,archivo,tematica,estilo,ancho,alto,descripcion,fuente,recolector,hash_imagen
jesus_fuentes_img_0001,img_001.png,mar_y_oceano,ilustracion_plana_color,528,378,ilustracion de mar,OpenClipart,jesus_fuentes,f43f7f80f8243cb58e7e867a091bfca83e8aef9a
jesus_fuentes_img_0002,img_002.png,mar_y_oceano,ilustracion_plana_color,556,551,ilustracion de mar,OpenClipart,jesus_fuentes,9920d87aba9e3fbd5b83abc0739c5e4021095764
jesus_fuentes_img_0003,img_003.png,mar_y_oceano,ilustracion_plana_color,625,490,ilustracion de mar,OpenClipart,jesus_fuentes,196d2f3edfa9fad06a8d0447be63c8652ee7401d
jesus_fuentes_img_0004,img_004.png,mar_y_oceano,ilustracion_plana_color,738,414,ilustracion de mar,OpenClipart,jesus_fuentes,4c6063005e6aafa0e3a63a58b2c042a7287e8a14
jesus_fuentes_img_0005,img_005.png,mar_y_oceano,ilustracion_plana_color,678,452,ilustracion de mar,OpenClipart,jesus_fuentes,8a93e242fd4c08ca99ade076cc23c91125b67d31
jesus_fuentes_img_0006,img_006.png,mar_y_oceano,ilustracion_plana_color,554,554,ilustracion de mar,OpenClipart,jesus_fuentes,3b40e9232f1f2d23d36c2b7c53b6692b1b4a5b80
jesus_fuentes_img_0007,img_007.png,mar_y_oceano,ilustracion_plana_color,631,485,ilustracion de mar,OpenClipart,jesus_fuentes,e62fadbd297c010f203f201c55fd2effedd5de57
jesus_fuentes_img_0008,img_008.png,mar_y_oceano,ilustracion_plana_color,486,630,ilustracion de mar,OpenClipart,jesus_fuentes,9f00f5211e5abae38cdaadc365b051d39b1e2ff2
jesus_fuentes_img_0009,img_009.png,mar_y_oceano,ilustracion_plana_color,554,554,ilustracion de mar,OpenClipart,jesus_fuentes,7675c098105977a130fd5e45af5cde1dcdb00614
jesus_fuentes_img_0010,img_010.png,mar_y_oceano,ilustracion_plana_color,554,554,ilustracion de mar,OpenClipart,jesus_fuentes,29708b406e5f6e55f63193233f2d72253fe16760
jesus_fuentes_img_0011,img_011.png,mar_y_oceano,ilustracion_plana_color,547,365,ilustracion de mar,OpenClipart,jesus_fuentes,cd923aa48245400073d5c7ac947fa4936e403a89
jesus_fuentes_img_0012,img_012.png,mar_y_oceano,ilustracion_plana_color,538,569,ilustracion de mar,OpenClipart,jesus_fuentes,13363282ba4ff8249d35d9b26af8afb2d42078d8
jesus_fuentes_img_0013,img_013.png,mar_y_oceano,ilustracion_plana_color,554,554,ilustracion de mar,OpenClipart,jesus_fuentes,edb6a180f5b96ee93487e364aee2e6bb95663688
jesus_fuentes_img_0014,img_014.png,mar_y_oceano,ilustracion_plana_color,554,554,ilustracion de mar,OpenClipart,jesus_fuentes,b36b31c2a3ca5b60d16a82e7cb6f481716ae97e0
