id,archivo,tematica,estilo,ancho,alto,descripcion,fuente,recolector,hash_imagen
yaretzi_mexica_img_0001,img_001.jpeg,animales,ilustracion_plana_color,385,524,ilustracion estilo tierno donde se observa: rana,Pinterest,yaretzi_mexica,ce04a1d8d99a229b0eae91041f156e5d43caff81
yaretzi_mexica_img_0002,img_002.jpg,animales,ilustracion_plana_color,647,980,ilustracion estilo tierno donde se observa: perro,Pinterest,yaretzi_mexica,ed0fdc95afba9cda4851ec9a7685360d6bd741ba
yaretzi_mexica_img_0003,img_003.png,animales,ilustracion_plana_color,512,512,ilustracion estilo tierno donde se observa: panda,Flat Icon,yaretzi_mexica,7d190079c794f14636ff1eb3b47f9527ac65c4a4
yaretzi_mexica_img_0004,img_004.jpeg,animales,ilustracion_plana_color,240,240,ilustracion estilo tierno donde se observa: ratón,Pinterest,yaretzi_mexica,6d8eb252f32e61e86c2d80eb372479e92ea01c8e
yaretzi_mexica_img_0005,img_005.jpg,animales,ilustracion_plana_color,512,512,ilustracion estilo tierno donde se observa: oveja,Flat Icon,yaretzi_mexica,15d95657f813704f2b5bc9212be09079af70cb6e
yaretzi_mexica_img_0006,img_006.png,animales,ilustracion_plana_color,450,450,ilustracion estilo tierno donde se observa: oso,Pinterest,yaretzi_mexica,ce14686c284253723b9ba59602cd4834acb0a6c9
yaretzi_mexica_img_0007,img_007.jpg,animales,ilustracion_plana_color,1200,910,ilustracion estilo tierno donde se observa: rana,Pinterest,yaretzi_mexica,cbecfd34e2bea0fe4776afaa7bac9c8bde9fa56d
yaretzi_mexica_img_0008,img_008.png,animales,ilustracion_plana_color,800,2105,ilustracion estilo tierno donde se observa: cerdito,Openclipart,yaretzi_mexica,33f97dd8ff67a340ae04e65a1d125a5eef6c3353
yaretzi_mexica_img_0009,img_009.jpg,animales,ilustracion_plana_color,512,512,ilustracion estilo tierno donde se observa: pájaro,Flat Icon,yaretzi_mexica,8f67befc987ad2a6864456b829abdce8d39eb1f5
yaretzi_mexica_img_0010,img_010.png,animales,ilustracion_plana_color,512,512,ilustracion estilo tierno donde se observa: oveja,Flat Icon,yaretzi_mexica,d384ac702f1fad7fdee8b1417c14fff2247b8feb
yaretzi_mexica_img_0011,img_011.jpg,animales,ilustracion_plana_color,256,256,ilustracion estilo tierno donde se observa: pato,Flat Icon,yaretzi_mexica,9c4d93b5dfae5fc3ebaff0c301647c6a3fac6d0e
yaretzi_mexica_img_0012,img_012.png,animales,ilustracion_plana_color,800,828,ilustracion estilo tierno donde se observa: mono,Openclipart,yaretzi_mexica,2cadbdcc7b73c44e8ef78efce1c8a296fe804751
yaretzi_mexica_img_0013,img_013.jpg,animales,ilustracion_plana_color,951,980,ilustracion estilo tierno donde se observa: pájaro,Pinterest,yaretzi_mexica,6ddc1120433076e70bf7fcdb4a51a63865bb8269
yaretzi_mexica_img_0014,img_014.png,animales,ilustracion_plana_color,450,450,ilustracion estilo tierno donde se observa: león,Pinterest,yaretzi_mexica,bef8ec94b7b6b4d292471ae3c3b105d2cceb3d37
yaretzi_mexica_img_0015,img_015.jpg,animales,ilustracion_plana_color,256,256,ilustracion estilo tierno donde se observa: pájaro,Openclipart,yaretzi_mexica,7a054192d9e1f37ee936d077a2cc56fc9e2f5d2f
yaretzi_mexica_img_0016,img_016.png,animales,ilustracion_plana_color,800,869,ilustracion estilo tierno donde se observa: pájaro,Openclipart,yaretzi_mexica,684b0d0942851ccfd08490e3ca497a2a5969e891
yaretzi_mexica_img_0017,img_017.jpg,animales,ilustracion_plana_color,256,256,ilustracion estilo tierno donde se observa: pájaro,Openclipart,yaretzi_mexica,5559afff39611a86319c5e41a4ba00ddc2991528
yaretzi_mexica_img_0018,img_018.png,animales,ilustracion_plana_color,450,450,ilustracion estilo tierno donde se observa: pájaro,Pinterest,yaretzi_mexica,44bddbc3d8a25512d59e7bcf1036d989af328c1b
yaretzi_mexica_img_0019,img_019.jpg,animales,ilustracion_plana_color,512,512,ilustracion estilo tierno donde se observa: cerdito,Pinterest,yaretzi_mexica,b529cf343745cc178c605dfe4878f65bf0170134
yaretzi_mexica_img_0020,img_020.png,animales,ilustracion_plana_color,800,593,ilustracion estilo tierno donde se observa: conejo,Openclipart,yaretzi_mexica,7709502acf15a456201d20791da1f411a110d04f
yaretzi_mexica_img_0021,img_021.jpg,animales,ilustracion_plana_color,512,512,ilustracion estilo tierno donde se observa: cerdito,Openclipart,yaretzi_mexica,4a786899137e7b6f86ad39ecd48ec9eb6aa8e0a9
yaretzi_mexica_img_0022,img_022.png,animales,ilustracion_plana_color,512,512,ilustracion estilo tierno donde se observa: cerdito,Openclipart,yaretzi_mexica,34e1c957a42199fdf3e9844645bd10ed7d85cc45
yaretzi_mexica_img_0023,img_023.jpg,animales,ilustracion_plana_color,512,512,ilustracion estilo tierno donde se observa: cerdito,Openclipart,yaretzi_mexica,d51c23f1dbce47776164ebd0ffed6dbd5f4ce47a
yaretzi_mexica_img_0024,img_024.png,animales,ilustracion_plana_color,450,450,ilustracion estilo tierno donde se observa: conejo,Pinterest,yaretzi_mexica,1cc36911b835c155606e9c0b39284f721966e593
yaretzi_mexica_img_0025,img_025.jpg,animales,ilustracion_plana_color,302,394,ilustracion estilo tierno donde se observa: cerdito,Pinterest,yaretzi_mexica,732ab4b5c8e2c8f6acbcd20cf89f550b2a215f1e
yaretzi_mexica_img_0026,img_026.png,animales,ilustracion_plana_color,800,1082,ilustracion estilo tierno donde se observa: cerdito,Openclipart,yaretzi_mexica,fa36ffa38552f733df401904f5458836199b3d8d
yaretzi_mexica_img_0027,img_027.jpeg,animales,ilustracion_plana_color,228,228,ilustracion estilo tierno donde se observa: mono,Openclipart,yaretzi_mexica,29e85bc010be779187cfbebbfd131556d1ece6dc
