archivo,titulo,autor,tematica,fuente
cuento_0001.txt,El príncipe Danilo,"Afanasiev, Aleksandr Nikoalevich",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0002.txt,El Rey del Frío,"Afanasiev, Aleksandr Nikoalevich",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0003.txt,Almohada,"Akutagawa, Ryunosuke",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0004.txt,El rey Baltasar,"Alas ""Clarín"", Leopoldo",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0005.txt,Un cuento de reyes,"Aldecoa, Ignacio",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0006.txt,Duelo de caballeros,"Alegría, Ciro",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0007.txt,El hada del saúco,"Andersen, Hans Christian",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0008.txt,El príncipe malvado,"Andersen, Hans Christian",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0009.txt,El traje nuevo del Emperador,"Andersen, Hans Christian",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0010.txt,La hija del rey del pantano,"Andersen, Hans Christian",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0011.txt,La princesa del guisante,"Andersen, Hans Christian",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0012.txt,La princesa y el frijol,"Andersen, Hans Christian",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0013.txt,"Los fuegos fatuos están en la ciudad, dijo la Reina del Pantano","Andersen, Hans Christian",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0014.txt,El caballero Charles,"Arenal, Humberto",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0015.txt,El rey negro,"Arreola, Juan José",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0016.txt,Noche de Reyes,"Aub, Max",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0017.txt,Lo que lleva el rey Gaspar,Azorín,princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0018.txt,El rey,"Babel, Isaac",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0019.txt,La doncella de Tilhouze,"Balzac, Honoré de",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0020.txt,Tute de reyes,"Benítez Rojo, Antonio",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0021.txt,De los reyes futuros,"Bioy Casares, Adolfo",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0022.txt,El Palacio,"Borges, Jorge Luis",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0023.txt,Los dos reyes y los dos laberintos,"Borges, Jorge Luis",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0024.txt,Dragón,"Bradbury, Ray",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0025.txt,Algunas indicaciones útiles a dos auténticos caballeros,"Buzzati, Dino",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0026.txt,El rey en Horm el-Hagar,"Buzzati, Dino",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0027.txt,La muerte del dragón,"Buzzati, Dino",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0028.txt,Los caballeros del pez,"Caballero, Fernán",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0029.txt,El sueño del rey,"Carroll, Lewis",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0030.txt,El sueño del rey II,"Carroll, Lewis",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0031.txt,Las dos doncellas,"Cervantes, Miguel de",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0032.txt,La princesa,"Chejov, Anton",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0033.txt,Los pecados del príncipe Saradine,"Chesterton, G.K.",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0034.txt,El caso de la doncella perfecta,"Christie, Agatha",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0035.txt,El rey del trébol,"Christie, Agatha",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0036.txt,El príncipe Román,"Conrad, Joseph",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0037.txt,Freya de las siete islas,"Conrad, Joseph",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0038.txt,El palacio del sol,"Darío, Rubén",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0039.txt,El rey burgués,"Darío, Rubén",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0040.txt,El velo de la reina Mab,"Darío, Rubén",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0041.txt,La muerte de la emperatriz de la China,"Darío, Rubén",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0042.txt,Las hadas de Francia,"Daudet, Alphonse",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0043.txt,Desastroso fin de los tres Reyes Magos,"Denevi, Marco",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0044.txt,El emperador de China,"Denevi, Marco",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0045.txt,La bella durmiente del bosque y el príncipe,"Denevi, Marco",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0046.txt,La reina virgen,"Denevi, Marco",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0047.txt,"Don Rafa, caballero del machete","Díaz Alfaro, Abelardo",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0048.txt,La corona de berilos,"Doyle, Arthur Conan",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0049.txt,La peña del dragón,"Dumas, Alexandre (padre)",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0050.txt,Los caballeros templarios,"Dumas, Alexandre (padre)",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0051.txt,¡Si yo fuera rey!,"Echegaray, José",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0052.txt,El buen rey león,Esopo,princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0053.txt,La zorra y el mono coronado rey,Esopo,princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0054.txt,Las ranas pidiendo rey,Esopo,princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0055.txt,Hubo una reina,"Faulkner, William",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0056.txt,El palacio de hielo,"Fitzgerald, F. Scott",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0057.txt,Rags Martin-Jones y el príncipe de Gales,"Fitzgerald, F. Scott",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0058.txt,Por qué Maruja no cree en los reyes magos,"Francés, José",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0059.txt,La muñeca reina,"Fuentes, Carlos",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0060.txt,La corona de Fredegunda,"Garro, Elena",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0061.txt,El caballero doble,"Gautier, Théophile",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0062.txt,El rey,"Gibrán, Gibrán Jalil",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0063.txt,El rey sabio,"Gibrán, Gibrán Jalil",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0064.txt,Las dos princesas,"Gibrán, Gibrán Jalil",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0065.txt,El tapiz del virrey,"Gómez Valderrama, Pedro",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0066.txt,Los invisibles caballeros japoneses,"Greene, Graham",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0067.txt,La abeja reina,"Grimm, Hermanos",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0068.txt,"Dios les conserve la alegría, caballeros","Hemingway, Ernest",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0069.txt,Dos caballeros el día de Acción de Gracias,"Henry, O.",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0070.txt,El regalo de los Reyes Magos,"Henry, O.",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0071.txt,La princesa y el puma,"Henry, O.",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0072.txt,Un príncipe del Chaparral,"Henry, O.",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0073.txt,El caballero sobre el hielo,"Hesse, Hermann",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0074.txt,El rey Yu,"Hesse, Hermann",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0075.txt,La leyenda del rey indio,"Hesse, Hermann",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0076.txt,El Palacio de la Alhambra,"Irving, Washington",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0077.txt,De Grey: un relato romántico,"James, Henry",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0078.txt,La gemela de la reina,"Jewett, Sarah Orne",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0079.txt,El hombre que pudo ser rey,"Kipling, Rudyard",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0080.txt,La princesa de Montpensier,"La Fayette, Madame de",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0081.txt,El dragón de muchas cabezas y el de muchas colas,"La Fontaine, Jean de",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0082.txt,El ratón metamorfoseado en doncella,"La Fontaine, Jean de",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0083.txt,Las ranas pidiendo rey,"La Fontaine, Jean de",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0084.txt,La muerte del rey de Francia,"Landolfi, Tommaso",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0085.txt,La princesa,"Lawrence, D. H.",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0086.txt,El príncipe Fatal y el príncipe Fortuné,Le Prince de Beaumont,princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0087.txt,La hija del rey Dragón,Li Chaowei,princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0088.txt,El rey de los griegos,"London, Jack",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0089.txt,El vagabundo y el hada,"London, Jack",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0090.txt,La princesa,"London, Jack",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0091.txt,Una nariz para el rey,"London, Jack",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0092.txt,Cuento para la noche de Reyes,"Lorrain, Jean",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0093.txt,La princesa de las azucenas rojas,"Lorrain, Jean",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0094.txt,El castillo de la Bella Durmiente,"Loti, Pierre",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0095.txt,Cuento de hadas suburbano,"Mansfield, Katherine",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0096.txt,La doncella y la señora,"Mansfield, Katherine",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0097.txt,Retrato de un caballero,"Maugham, W. Somerset",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0098.txt,Los reyes,"Maupassant, Guy de",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0099.txt,Madame Zilensky y el rey de Finlandia,"McCullers, Carson",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0100.txt,El paraíso de los solteros y el tártaro de las doncellas,"Melville, Herman",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0101.txt,Crónica del reinado de Carlos IX,"Mérimée, Próspero",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0102.txt,El embrujo del Rey (1699),"Mujica Lainez, Manuel",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0103.txt,La adoración de los Reyes Magos (1822),"Mujica Lainez, Manuel",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0104.txt,La enamorada del pequeño dragón (1584),"Mujica Lainez, Manuel",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0105.txt,La princesa de Hungría (1802),"Mujica Lainez, Manuel",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0106.txt,"Nube, castillo, lago","Nabokov, Vladimir",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0107.txt,Un cuento de hadas,"Nabokov, Vladimir",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0108.txt,El caballero orondo,"O'Hara, John",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0109.txt,Historia del caballero de la rosa y de la virgen encinta que vino de Liliput,"Onetti, Juan Carlos",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0110.txt,El virrey de los milagros,"Palma, Ricardo",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0111.txt,Los caballeros de la capa,"Palma, Ricardo",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0112.txt,La última visita del Caballero Enfermo,"Papini, Giovanni",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0113.txt,Cuentos de Navidad y Reyes (18 cuentos),"Pardo Bazán, Emilia",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0114.txt,El palacio de Artasar,"Pardo Bazán, Emilia",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0115.txt,El palacio frío,"Pardo Bazán, Emilia",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0116.txt,La almohada,"Pardo Bazán, Emilia",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0117.txt,La visión de los Reyes Magos,"Pardo Bazán, Emilia",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0118.txt,El republicano y los reyes magos,"Pemán, José María",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0119.txt,Las hadas,"Perrault, Charles",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0120.txt,La corona,"Pirandello, Luigi",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0121.txt,El duque de l’Omelette,"Poe, Edgar Allan",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0122.txt,La princesa bizantina,"Quiroga, Horacio",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0123.txt,El sombrero del rey de Tibotú,"Romero de Terreros, Manuel",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0124.txt,El pensil sobre el Yang Tse o la hija del emperador,"Sánchez Ferlosio, Rafael",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0125.txt,Pocahontas: Princesa,"Schwob, Marcel",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0126.txt,El castillo del arsénico,"Simenon, Georges",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0127.txt,La duquesa de Palliano,Stendhal,princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0128.txt,El país de las hadas,"Tagore, Rabindranath",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0129.txt,Una desdichada,"Turgueniev, Iván",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0130.txt,El gran Duque-Pastor,"Unamuno, Miguel de",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0131.txt,El rey Zamuro,"Uslar Pietri, Arturo",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0132.txt,El caballero de Azor,"Valera, Juan",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0133.txt,Los rústicos caballeros,"Verga, Giovanni",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0134.txt,El duque de Portland,Villiers de L'Isle Adam,princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0135.txt,La reina Isabel,Villiers de L'Isle Adam,princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0136.txt,La princesa de Babilonia,Voltaire,princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0137.txt,Mr. Skelmersdale en el país de las hadas,"Wells, H.G.",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0138.txt,La duquesa está rezando,"Wharton, Edith",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0139.txt,El cumpleaños de la infanta,"Wilde, Oscar",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0140.txt,El joven rey,"Wilde, Oscar",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0141.txt,El príncipe feliz,"Wilde, Oscar",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0142.txt,La duquesa y el joyero,"Woolf, Virginia",princesas_y_castillos,Fernandoefg/cuentos_es
cuento_0143.txt,Leo y el Libro del Rey León,Anonimo,princesas_y_castillos,Kaggle
cuento_0144.txt,La princesa que amaba arreglar coches,Anonimo,princesas_y_castillos,Kaggle
cuento_0145.txt,Los constructores de castillos de arena,Anonimo,princesas_y_castillos,Kaggle
cuento_0146.txt,La maldición del dragón de Jade,Anonimo,princesas_y_castillos,Kaggle
cuento_0147.txt,Robots y caballos mecedores,Anonimo,princesas_y_castillos,Kaggle
cuento_0148.txt,Dragón gruñón de la princesa Lily,Anonimo,princesas_y_castillos,Kaggle
cuento_0149.txt,La maldición del dragón de Jade,Anonimo,princesas_y_castillos,Kaggle
cuento_0150.txt,El aprendiz de la bruja,Anonimo,princesas_y_castillos,Kaggle
cuento_0151.txt,Caminar demasiado cerca del set de swing,Anonimo,princesas_y_castillos,Kaggle
cuento_0152.txt,El Juego de Clase y la Princesa 'Perfecta',Anonimo,princesas_y_castillos,Kaggle
cuento_0153.txt,Escoger flores desconocidas,Anonimo,princesas_y_castillos,Kaggle
cuento_0154.txt,Peeking en las macetas,Anonimo,princesas_y_castillos,Kaggle
cuento_0155.txt,Mecánica y fabricación de cupcakes,Anonimo,princesas_y_castillos,Kaggle
cuento_0156.txt,El secreto del festival de las cometas de dragones,Anonimo,princesas_y_castillos,Kaggle
cuento_0157.txt,Tommy el Talking Tubs,Anonimo,princesas_y_castillos,Kaggle
cuento_0158.txt,La maldición del dragón de Jade,Anonimo,princesas_y_castillos,Kaggle
cuento_0159.txt,La maldición de la máscara del emperador de Jade,Anonimo,princesas_y_castillos,Kaggle
cuento_0160.txt,Fifi el Hada de la Seguridad contra Incendios,Anonimo,princesas_y_castillos,Kaggle
cuento_0161.txt,El Caballero Cobarde,Anonimo,princesas_y_castillos,Kaggle
cuento_0162.txt,El error de hornear,Anonimo,princesas_y_castillos,Kaggle
cuento_0163.txt,El Gambito de la Hija del Rey,Anonimo,princesas_y_castillos,Kaggle
cuento_0164.txt,La Cueva Secreta del Rey de la Montaña,Anonimo,princesas_y_castillos,Kaggle
cuento_0165.txt,El mecánico de la nave estelar y el príncipe extranjero,Anonimo,princesas_y_castillos,Kaggle
cuento_0166.txt,La princesa Penélope y el príncipe perfecto,Anonimo,princesas_y_castillos,Kaggle
cuento_0167.txt,El perro que habla y la abeja de ortografía,Anonimo,princesas_y_castillos,Kaggle
cuento_0168.txt,El tesoro del dragón y la elección de la princesa,Anonimo,princesas_y_castillos,Kaggle
