archivo,titulo,autor,tematica,fuente
cuento_0001.txt,EL CALAMAR OPTA POR SU TINTA,Varios autores,monstruos_y_criaturas,Antología de la literatura fantástica
cuento_0002.txt,EL CUENTO MÁS HERMOSO DEL MUNDO,Varios autores,monstruos_y_criaturas,Antología de la literatura fantástica
cuento_0003.txt,EL DESTINO ES CHAMBÓN,Varios autores,monstruos_y_criaturas,Antología de la literatura fantástica
cuento_0004.txt,EL PAÑUELO QUE SE TEJE SOLO,Varios autores,monstruos_y_criaturas,Antología de la literatura fantástica
cuento_0005.txt,LA SENTENCIA,Varios autores,monstruos_y_criaturas,Antología de la literatura fantástica
cuento_0006.txt,SREDNI VASHTAR,Varios autores,monstruos_y_criaturas,Antología de la literatura fantástica
cuento_0007.txt,TLÖN UQBAR ORBIS TERTIUS JORGE,Varios autores,monstruos_y_criaturas,Antología de la literatura fantástica
cuento_0009.txt,El Dragón Chino (China),Varios autores,monstruos_y_criaturas,"CUENTOS POPULARES Y MITOS DE DRAGONES (Cuentos Populares y Mitos Infantiles, #5)"
cuento_0015.txt,El Dragón Verde de Gales (Gales),Varios autores,monstruos_y_criaturas,"CUENTOS POPULARES Y MITOS DE DRAGONES (Cuentos Populares y Mitos Infantiles, #5)"
cuento_0016.txt,El Dragón de Beowulf (Anglosajón),Varios autores,monstruos_y_criaturas,"CUENTOS POPULARES Y MITOS DE DRAGONES (Cuentos Populares y Mitos Infantiles, #5)"
cuento_0022.txt,El Dragón de Quetzalcóatl (Mesoamérica),Varios autores,monstruos_y_criaturas,"CUENTOS POPULARES Y MITOS DE DRAGONES (Cuentos Populares y Mitos Infantiles, #5)"
cuento_0025.txt,El Dragón de Tiamat (Mesopotamia),Varios autores,monstruos_y_criaturas,"CUENTOS POPULARES Y MITOS DE DRAGONES (Cuentos Populares y Mitos Infantiles, #5)"
cuento_0028.txt,El Dragón de Yamata no Orochi (Japón),Varios autores,monstruos_y_criaturas,"CUENTOS POPULARES Y MITOS DE DRAGONES (Cuentos Populares y Mitos Infantiles, #5)"
cuento_0031.txt,Fafnir y Sigurd (Mitología nórdica),Varios autores,monstruos_y_criaturas,"CUENTOS POPULARES Y MITOS DE DRAGONES (Cuentos Populares y Mitos Infantiles, #5)"
cuento_0032.txt,San Jorge y el Dragón (Varios países europeos),Varios autores,monstruos_y_criaturas,"CUENTOS POPULARES Y MITOS DE DRAGONES (Cuentos Populares y Mitos Infantiles, #5)"
cuento_0034.txt,EL AHOGADO,Varios autores,monstruos_y_criaturas,"Cuentos chilenos de terror, misterio y fantasía"
cuento_0036.txt,EL COLOCOLO,Varios autores,monstruos_y_criaturas,"Cuentos chilenos de terror, misterio y fantasía"
cuento_0037.txt,EL ESPEJO,Varios autores,monstruos_y_criaturas,"Cuentos chilenos de terror, misterio y fantasía"
cuento_0038.txt,EN EL PAÍS DE LA LEYENDA,Varios autores,monstruos_y_criaturas,"Cuentos chilenos de terror, misterio y fantasía"
cuento_0039.txt,LA CHASCUDA,Varios autores,monstruos_y_criaturas,"Cuentos chilenos de terror, misterio y fantasía"
cuento_0040.txt,LA HIJA DEL GUARDAGUJAS,Varios autores,monstruos_y_criaturas,"Cuentos chilenos de terror, misterio y fantasía"
cuento_0041.txt,LA RATA,Varios autores,monstruos_y_criaturas,"Cuentos chilenos de terror, misterio y fantasía"
cuento_0044.txt,¡VAMPIROS!,Varios autores,monstruos_y_criaturas,"Cuentos chilenos de terror, misterio y fantasía"
cuento_0045.txt,El extraño,Varios autores,monstruos_y_criaturas,Cuentos de terror
cuento_0046.txt,El sabueso,Varios autores,monstruos_y_criaturas,Cuentos de terror
cuento_0047.txt,La hija de Rapaccini,Varios autores,monstruos_y_criaturas,Cuentos de terror
cuento_0048.txt,La litera superior,Varios autores,monstruos_y_criaturas,Cuentos de terror
cuento_0049.txt,Markheim,Varios autores,monstruos_y_criaturas,Cuentos de terror
cuento_0050.txt,Sawney Bean y su familia,Varios autores,monstruos_y_criaturas,Cuentos de terror
cuento_0051.txt,Una noche de verano,Varios autores,monstruos_y_criaturas,Cuentos de terror
cuento_0052.txt,Visión de Carlos XI,Varios autores,monstruos_y_criaturas,Cuentos de terror
cuento_0053.txt,¿Fue un sueño,Varios autores,monstruos_y_criaturas,Cuentos de terror
cuento_0054.txt,Animales de los espejos,Varios autores,monstruos_y_criaturas,El libro de los seres imaginarios
cuento_0055.txt,Animales esféricos,Varios autores,monstruos_y_criaturas,El libro de los seres imaginarios
cuento_0056.txt,Arpías,Varios autores,monstruos_y_criaturas,El libro de los seres imaginarios
cuento_0057.txt,Baldanders,Varios autores,monstruos_y_criaturas,El libro de los seres imaginarios
cuento_0058.txt,Cronos o Hércules,Varios autores,monstruos_y_criaturas,El libro de los seres imaginarios
cuento_0061.txt,El Asno de Tres Patas,Varios autores,monstruos_y_criaturas,El libro de los seres imaginarios
cuento_0062.txt,El Basilisco,Varios autores,monstruos_y_criaturas,El libro de los seres imaginarios
cuento_0065.txt,El Centauro,Varios autores,monstruos_y_criaturas,El libro de los seres imaginarios
cuento_0067.txt,El Dragón,Varios autores,monstruos_y_criaturas,El libro de los seres imaginarios
cuento_0068.txt,El Dragón Chino,Varios autores,monstruos_y_criaturas,El libro de los seres imaginarios
cuento_0069.txt,El Golem,Varios autores,monstruos_y_criaturas,El libro de los seres imaginarios
